England | outside League is | EPL
late 1980s | marked | point for English football
late 1980s | marked | low point for football
English clubs | were | banned from European competition following Heysel Stadium disaster in 1985
English clubs | were | banned from competition for five years following Heysel Stadium disaster
English clubs | were | banned from competition following Heysel Stadium disaster in 1985
English clubs | were | banned from European competition for five years following Heysel Stadium disaster
English clubs | were banned following | Heysel Stadium disaster
Heysel Stadium disaster | is in | 1985
English clubs | were banned from | competition
supporters | endured | poor facilities
English clubs | were | banned from competition following Heysel Stadium disaster
English clubs | were | banned
English clubs | were | banned from European competition for five years following Heysel Stadium disaster in 1985
English clubs | were banned from | European competition
English clubs | were banned from | competition for five years
English clubs | were | banned from competition for five years following Heysel Stadium disaster in 1985
supporters | endured | facilities
English clubs | were banned from | European competition for five years
English clubs | were banned following | Heysel Stadium disaster in 1985
English clubs | were | banned from European competition following Heysel Stadium disaster
Football League First Division | level of | English football
Spain 's La Liga | is in | attendances
Football League First Division | level since | 1888
Spain | has | La Liga in attendances
Football League First Division | was behind | leagues
Italy | such as | Serie A
upgrades | create | stadiums
upgrades | create stadiums in | aftermath of Hillsborough disaster
England | reached | semi-finals
UEFA | ban on | English clubs playing in 1990
upgrades | create stadiums in | aftermath
upgrades | create | all-seater stadiums
UEFA | five-year ban on | English clubs playing in 1990
European football | has | governing body
UEFA | ban on | English clubs playing
expensive upgrades | create stadiums in | aftermath of Hillsborough disaster
UEFA | five-year ban on | English clubs playing
expensive upgrades | create stadiums in | aftermath
UEFA | ban on | English clubs playing in European competitions
UEFA | ban on | English clubs
expensive upgrades | create | all-seater stadiums
UEFA | five-year ban on | English clubs
UEFA | five-year ban on | English clubs playing in competitions in 1990
UEFA | ban on | English clubs playing in competitions in 1990
UEFA | resulting in | Manchester United
UEFA | ban on | English clubs playing in competitions
UEFA | five-year ban on | English clubs playing in competitions
UEFA | five-year ban on | English clubs playing in European competitions in 1990
UEFA | five-year ban on | English clubs playing in European competitions
expensive upgrades | create | stadiums
UEFA | ban on | English clubs playing in European competitions in 1990
major clubs | applying principles to | club administration
major clubs | applying | commercial principles
major English clubs | applying | principles
major clubs | had begun | transform
English clubs | had begun | transform
major English clubs | had begun | transform
English clubs | had begun In | 1980s
major English clubs | applying | commercial principles
clubs | had begun In | 1980s
English clubs | applying | principles
English clubs | had begun | transform into business ventures
major English clubs | applying principles to | club administration
English clubs | applying | commercial principles
English clubs | applying principles to | club administration
major English clubs | transform into | business ventures
major clubs | transform into | business ventures
major English clubs | had begun In | 1980s
major English clubs | had begun | transform into business ventures
clubs | applying | commercial principles
English clubs | transform into | business ventures
clubs | had begun | transform
clubs | transform into | business ventures
major clubs | had begun | transform into business ventures
clubs | had begun | transform into business ventures
major clubs | applying | principles
clubs | applying principles to | club administration
clubs | applying | principles
major clubs | had begun In | 1980s
Manchester United | Scholar of | Tottenham Hotspur
leaders | is in | transformation
Martin Edwards | were among | leaders
clubs | is in | Division One
They | took | 50 % share of television
sponsorship income | is in | 1986
They | took | share of television
two-year agreement | is in | 1986
they | were persuaded | stay
1988 negotiations | were | conducted
negotiations | were conducted under | threat
negotiations | were conducted under | threat of ten clubs
negotiations | were conducted under | threat leaving
they | were eventually persuaded | stay with clubs
they | were | persuaded
they | were | eventually persuaded
1988 negotiations | were conducted under | threat leaving
negotiations | were | conducted
they | stay with | clubs
1988 negotiations | were conducted under | threat of ten clubs
they | were eventually persuaded | stay with top clubs
1988 negotiations | were conducted under | threat of ten clubs leaving
they | were persuaded | stay with clubs
negotiations | were conducted under | threat of ten clubs leaving
they | stay with | top clubs
they | were persuaded | stay with top clubs
1988 negotiations | were conducted under | threat
they | were eventually persuaded | stay
country 's teams | leaving Football League in | order capitalise on influx of money into sport
country 's top teams | leaving Football League in | order capitalise on influx
country 's top teams | leaving Football League in | order capitalise on influx into sport
country 's top teams | leaving Football League in | order capitalise
country 's teams | leaving Football League in | order capitalise
country 's teams | leaving | Football League
country 's top teams | leaving Football League in | order capitalise on influx of money into sport
country | has | top teams
country 's teams | leaving Football League in | order
country 's teams | leaving Football League in | order capitalise on influx into sport
country 's teams | leaving Football League in | order capitalise on influx
country 's top teams | leaving Football League in | order
country 's top teams | leaving | Football League
country 's top teams | leaving Football League in | order capitalise on influx of money
country 's teams | leaving Football League in | order capitalise on influx of money
managing director | met with | representatives of big five football clubs in England
managing director | met with | representatives of five football clubs
managing director | met with | representatives of five football clubs in England
managing director | met In | 1990
director | met with | representatives of five football clubs in England
director | met with | representatives of big five football clubs
managing director | met with | representatives
big five football clubs | is in | England
managing director | met with | representatives of big five football clubs
director | met with | representatives of five football clubs
director | met over | dinner
director | met In | 1990
director | met with | representatives
director | met with | representatives of big five football clubs in England
managing director | met over | dinner
meeting | pave way for | break away from Football League
meeting | pave way for | break
meeting | pave | way
meeting | pave way for | break from Football League
meeting | pave way for | break away
larger clubs | is in | country
David Dein | held | talks
clubs | decided | press ahead with it
FA | were | receptive
five clubs | decided | press with it
FA | were receptive to | idea
five clubs | decided | press ahead
five clubs | decided | press
clubs | decided | press with it
clubs | decided | press ahead
five clubs | decided | press ahead with it
clubs | decided | press
FA | considered | it
FA | considered | it as way
Football League | has | position
proposal | was tabled At | close of 1991 season
proposal | was | At close of 1991 season tabled for establishment
proposal | was | tabled
proposal | was tabled At | close
proposal | was | At close tabled for establishment
proposal | was tabled for | establishment
game | by | top-flight clubs
Founder Members Agreement | established | principles
Founder Members Agreement | signed on | July 1991
Founder Members Agreement | established | basic principles
Founder Members Agreement | signed on | 17 July 1991
formed division | would have | independence from Football Association
division | would have | independence
formed top division | would have | independence
top division | giving | FA Premier League licence
top division | would have | commercial independence
formed division | giving | FA Premier League licence
formed division | would have | commercial independence
formed top division | would have | commercial independence from Football Association
formed top division | would have | independence from Football Association
formed top division | giving | FA Premier League licence
division | would have | commercial independence from Football Association
division | giving | FA Premier League licence
formed top division | would have | commercial independence
top division | would have | independence
division | would have | commercial independence
division | would have | independence from Football Association
formed division | would have | commercial independence from Football Association
top division | would have | independence from Football Association
formed division | would have | independence
top division | would have | commercial independence from Football Association
English clubs | compete with | teams across Europe
extra income | allow | English clubs
income | allow | English clubs
income | allow | compete
income | allow | compete with teams across Europe
extra income | allow | compete
income | allow | compete with teams
English clubs | compete with | teams
argument | given at | time
extra income | allow | compete with teams
extra income | allow | compete with teams across Europe
BSkyB | won with | bid of # 304 million over five years
Dyke | played | significant role
BSkyB | won with | bid
Dyke | played role in | creation of Premier League
BSkyB | won with | bid of # 304 million with BBC
BSkyB | won with | bid with BBC
BSkyB | won with | bid over five years with BBC
BSkyB | won with | bid over five years
BSkyB | won with | bid of # 304 million
BSkyB | won with | bid of # 304 million over five years with BBC
Dyke | played role in | creation
bid | is with | BBC awarded
Dyke | played | role
FA Premier League | was formed as on | 27 May 1992
Football Association | at | then headquarters in Lancaster Gate
Football Association 's headquarters | is in | Lancaster Gate
First Division clubs | resigned from | Football League en masse
FA Premier League | was | formed as
FA Premier League | was formed on | 27 May 1992
First Division clubs | resigned In | 1992
FA Premier League | was | formed
First Division clubs | resigned from | Football League
Football League | is with | three
Premier League | would operate with | single division
Premier League | would operate with | division
Second Divisions | is with | three teams relegated from league
promotion | remained as | First
promotion | remained | relegation
promotion | remained as | old First
promotion | remained | same
league | held | its season
league | held | its first season
It | was composed of | 22 clubs
It | was | composed
Premier League goal | was | scored
first Premier League goal | was scored by | Brian Deane
first Premier League goal | was | scored
Premier League goal | was scored by | Brian Deane of Sheffield United
Premier League goal | was scored by | Brian Deane
first Premier League goal | was scored by | Brian Deane of Sheffield United
Luton Town | were | three teams
One significant feature | is in | mid-2000s
they | taking | top-four places
it | has ever happened in | Premier League
it | has happened in | Premier League
Arsenal | acquired | nickname
exception | is in | 2002 03 season
Leeds United | qualify for | Champions League
2008 Kevin Keegan | stated In | May
Top Four dominance | threatened | division
dominance | threatened | division
Kevin Keegan | stated In | May
Premier League chief executive Richard Scudamore | said in | defence
top | is in | middle
Premier League representative | is in | seven of eight Champions League finals
Premier League representative | is with | only Top Four clubs reaching
Liverpool | won | competition
Liverpool | won competition with | Liverpool
Liverpool | won competition with | 2006
Leeds United | were | only non Four side
Leeds United | reach semi-finals in | 2000 01 season
Leeds United | were | Four side
Leeds United | were | non Top Four side
Leeds United | were | non Four side
Leeds United | were | Top Four side
Leeds United | reach | semi-finals of Champions League
Leeds United | were | only non Top Four side
Leeds United | reach | semi-finals
Leeds United | were | only Top Four side
Leeds United | were | only Four side
Premier League sides | reached | UEFA Cup
four Premier League sides | Additionally reached | UEFA Cup
four Premier League sides | reached | UEFA Cup
Premier League sides | Additionally reached | UEFA Cup
inals | is with | only Liverpool managing
all | lost | their finals
years | marked shift with | Tottenham Hotspur
years | marked | shift in structure of Top Four
years | marked | shift
shift | is in | structure of Top Four
years | marked | shift in structure
team | break top four since | Everton five years
Tottenham | became | team
Tottenham | finished In | 2009 10 season
first team | break top four since | Everton five years prior
team | break top four since | Everton five years prior
first team | break top four since | Everton five years
Tottenham | became | first team
team | break | top four
first team | break | top four
Tottenham | finished | fourth
Criticism | has continued | due
Criticism | has continued nevertheless | due
Criticism | has continued nevertheless | due to their ability
Criticism | has continued nevertheless | due to their increasing ability
Criticism | has continued | due to their ability
Criticism | has continued | due to their increasing ability
Premier League | is | top-level league
Premier League | is | Additionally only top-level national league
Premier League | is | only top-level national league
Premier League | is | Additionally only national league
Premier League | is | Additionally national league
only top-level national league | is in | UEFA countries
Premier League | is | Additionally league
Premier League | is | Additionally top-level league
Premier League | is | top-level national league
Premier League | is | only national league
Premier League | is | Additionally only league
Premier League | is | Additionally only top-level league
Premier League | is | only top-level league
Premier League | is | national league
Premier League | is | Additionally top-level national league
Premier League | is | only league
Premier League | is | league
UEFA Champions League | qualifying | places available
competition | now exists albeit | albeit narrow base
greater competition | exists albeit | albeit base of six clubs
competition | exists albeit | albeit base of six clubs
UEFA Champions League | qualifying | places
greater competition | now exists albeit | albeit narrow base of six clubs
greater competition | now exists albeit | albeit base of six clubs
greater competition | now exists albeit | albeit base
competition | exists albeit | albeit narrow base
UEFA Champions League | qualifying | places available in league
competition | now exists albeit | albeit base
greater competition | exists albeit | albeit narrow base
places | available in | league
competition | exists albeit | albeit base
competition | now exists albeit | albeit base of six clubs
competition | now exists albeit | albeit narrow base of six clubs
greater competition | now exists albeit | albeit narrow base
greater competition | exists albeit | albeit narrow base of six clubs
greater competition | exists albeit | albeit base
competition | exists albeit | albeit narrow base of six clubs
teams | are | level
teams | are level on | points
Arsenal | finished | 5th
top four | was breached by | Six side
top four | was | In 2015 16 season breached by non-Big Six side since Everton in 2005
top four | was | breached
top four | was breached since | Everton in 2005
top four | was breached by | Six side for time
top four | was | breached by Six side for first time since Everton in 2005
top four | was | In 2015 16 season breached by Six side since Everton
top four | was | breached by non-Big Six side since Everton in 2005
top four | was breached by | non-Big Six side for time
top four | was | breached by Six side for first time since Everton
top four | was | In 2015 16 season breached by non-Big Six side for first time
top four | was | breached by non-Big Six side since Everton
top four | was | In 2015 16 season breached by Six side
top four | was | breached by Six side for time since Everton in 2005
top four | was | In 2015 16 season breached by Six side for time
top four | was | breached by Six side since Everton
top four | was | In 2015 16 season breached by non-Big Six side since Everton
top four | was | breached by non-Big Six side for time since Everton in 2005
top four | was | In 2015 16 season breached by Six side for first time since Everton
top four | was | In 2015 16 season breached by Six side for first time since Everton in 2005
top four | was | breached by Six side for time since Everton
top four | was | breached by non-Big Six side for first time since Everton
top four | was | In 2015 16 season breached by non-Big Six side for first time since Everton in 2005
top four | was | In 2015 16 season breached by non-Big Six side
top four | was breached In | 2015 16 season
top four | was | In 2015 16 season breached by non-Big Six side for first time since Everton
top four | was | breached by non-Big Six side for first time since Everton in 2005
top four | was breached by | non-Big Six side
top four | was | breached by non-Big Six side for time since Everton
top four | was breached since | Everton
top four | was | In 2015 16 season breached by Six side for first time
top four | was breached by | non-Big Six side for first time
top four | was | In 2015 16 season breached by non-Big Six side for time since Everton
Everton | is in | 2005
top four | was | In 2015 16 season breached by Six side since Everton in 2005
top four | was | In 2015 16 season breached since Everton in 2005
top four | was | breached by Six side since Everton in 2005
top four | was | In 2015 16 season breached by Six side for time since Everton
top four | was | In 2015 16 season breached since Everton
top four | was breached by | Six side for first time
top four | was | In 2015 16 season breached by Six side for time since Everton in 2005
top four | was | In 2015 16 season breached by non-Big Six side for time
top four | was | In 2015 16 season breached by non-Big Six side for time since Everton in 2005
Leicester City | were | surprise winners of league
Leicester City | qualifying for | Champions League
Leicester City | were | surprise winners
Leicester City | qualifying as | result
egalitarian revenue structure | is in | Premier League
Deloitte Football Money League report | showed | disparity
17 Deloitte Football Money League report | showed | financial disparity
Deloitte Football Money League report | showed | financial disparity
17 Deloitte Football Money League report | showed | disparity
largest revenue | is in | league
Leicester City | was club in | terms
Leicester City | was | club to Big Six in terms of revenue
Leicester City | was club in | terms of revenue
closest club | is in | terms of revenue
participation | is in | Champions League
Leicester City | was closest club in | terms of revenue
Leicester City | was club to | Big Six
Leicester City | was closest club in | terms
Leicester City | was | closest club to Big Six in terms of revenue
Leicester City | was | club
figure | helped by | participation
Leicester City | was | closest club to Big Six in terms
figure | helped by | participation in Champions League
Leicester City | was closest club to | Big Six
Leicester City | was | club to Big Six in terms
Leicester City | was | closest club
club | of half is | Liverpool
half | is with | fifth largest revenue
substantial part | is with | biggest clubs
world | of | richest clubs
Deloitte | In | 2019 report
number | was reduced down to | 20
number | was reduced to | 20
number | was | reduced
number | was | reduced down
top flight | had | had expanded
flight | had | had only expanded at start
flight | had | had only expanded to 22 teams
top flight | had | had only expanded at start
flight | had | had expanded
top flight | had | had only expanded
flight | had | had only expanded to 22 teams at start
top flight | had | had expanded at start
flight | had | had expanded at start of 1991
top flight | had | had expanded to 22 teams at start
top flight | had | had only expanded to 22 teams at start of 1991
flight | had | had only expanded at start of 1991
top flight | had | had only expanded to 22 teams at start
top flight | had | had expanded to 22 teams
flight | had | had only expanded to 22 teams at start of 1991
top flight | had | had only expanded to 22 teams
flight | had | had expanded to 22 teams at start
top flight | had | had expanded at start of 1991
top flight | had | had only expanded at start of 1991
flight | had | had only expanded
flight | had | had expanded at start
flight | had | had expanded to 22 teams at start of 1991
top flight | had | had expanded to 22 teams at start of 1991
flight | had | had expanded to 22 teams
FIFA | requested On | 8 June 2006
Premier League | announcing | their intention
Premier League | is in | 2007
league | changed | its name
Football Association Premier League Ltd | is | operated
Football Association Premier League Ltd | is owned by | 20 member clubs
Football Association Premier League Ltd | is operated as | corporation
Football Association Premier League Ltd | is | owned
club | is | shareholder
club | is shareholder with | one vote
shareholder | is with | one vote
chairman | oversee | daily operations
chairman | oversee | executive
chairman | oversee | operations
chairman | oversee | daily operations of league
clubs | elect | chairman
chairman | oversee | operations of league
chairman | oversee | chief executive
chairman | oversee | board of directors
chairman | oversee | board
Football Association | has veto power during | election of chairman
Football Association | has veto power during | election
new rules | are adopted by | league
rules | are | when adopted by league
new rules | are | adopted
new rules | are | when adopted by league
rules | are | adopted
Football Association | has | veto power
new rules | are | when adopted
Football Association | has | veto power as special shareholder
rules | are | when adopted
rules | are adopted by | league
Football Association | has | veto power as shareholder
executive | is | Richard Scudamore appointed
chief executive | appointed in | November 1999
executive | appointed in | November 1999
executive | is | Richard Scudamore appointed in November 1999
executive | is | Richard Scudamore
chief executive | is | Richard Scudamore
Richard Scudamore | appointed in | November 1999
chief executive | is | Richard Scudamore appointed
chief executive | is | Richard Scudamore appointed in November 1999
former chairman | were | forced
former chairman | were forced | resign
former chairman | forced | executive
former chairman | forced | John Quinton
former chairman | resign | executive
former chairman | resign | Peter Leaver
former chairman | resign in | March 1999
former chairman | forced | Peter Leaver
former chairman | resign | chief executive
former chairman | resign | John Quinton
former chairman | forced | chief executive
Rick Parry | was | league 's executive
Rick Parry | was | league 's first chief executive
league | has | first chief executive
Rick Parry | was | league 's first executive
Rick Parry | was | league 's chief executive
Susanna Dinnage | was | On 13 November 2018 announced as Scudamore 's successor due
Susanna Dinnage | was announced On | 13 November 2018
Susanna Dinnage | was | announced
Susanna Dinnage | was announced as | Scudamore 's successor
Susanna Dinnage | was announced as | Scudamore 's successor due
Susanna Dinnage | was | On 13 November 2018 announced as Scudamore 's successor
Scudamore | as | successor due
UEFA 's European Club Association | number of | clubs
Premier League | sends representatives to | number of clubs
UEFA | 's Association is | number of clubs
UEFA | to | European Club Association
Premier League | sends | representatives
Premier League | sends representatives to | UEFA 's European Club Association
Premier League | sends representatives to | number
Premier League | sends representatives to | UEFA 's Club Association
Premier League | has | 10 representatives
10 representatives | is in | Association
UEFA | to | Club Competitions Committee
European Club Association | electing | three members
Club Association | is | responsible
European Club Association | is | responsible
Club Association | electing | three members
20 clubs | is in | Premier League
club | plays others twice During | course
club | plays others twice at | their home stadium at that of their opponents ' for 38 games
club | plays others During | course of season from August
club | plays others at | once their home stadium at that
club | plays twice | others
club | plays others twice During | course of season
club | plays others at | once their home stadium at that of their opponents '
club | plays others twice at | once their home stadium
club | plays others at | their home stadium at that
club | plays others twice at | their home stadium
club | plays others During | course of season
club | plays others at | their home stadium at that of their opponents '
club | plays others twice at | once their home stadium at that of their opponents ' for 38 games
club | plays others twice at | their home stadium at that of their opponents '
club | plays others at | once their home stadium at that of their opponents ' for 38 games
club | plays others During | course of season from August to May
club | plays | others
club | plays others twice During | course of season from August to May
club | plays others at | their home stadium at that of their opponents ' for 38 games
club | plays others twice at | their home stadium at that
club | plays others at | their home stadium
club | plays others at | once their home stadium
club | plays others twice During | course of season from August
club | plays others twice at | once their home stadium at that of their opponents '
club | plays others During | course
club | plays others twice at | once their home stadium at that
Teams | receive | three points for win
Teams | receive | three points
Teams | are ranked by | total points
Teams | are ranked by | points
Teams | are | ranked
teams | occupy | position
teams | are | deemed
teams | occupy | same position
rank | match at | venue
match | decides | rank
rank | play-off match at | neutral venue
rank | play-off match at | venue
rank | match at | neutral venue
play-off match | decides | rank
system | exists between | Premier League
three lowest placed teams | is in | Premier League
this | was reduced to | present 20-team format in 1995
this | was reduced to | present 20-team format
Premier League | had | 22 teams
this | was reduced to | present format
present 20-team format | is in | 1995
this | was reduced to | present format in 1995
this | was reduced to | 20-team format
this | was reduced to | format
this | was reduced to | 20-team format in 1995
this | was | reduced
this | was reduced to | format in 1995
it | began in | 1992
clubs | have played in | Premier League
49 clubs | have played up in | Premier League
49 clubs | have played from | its inception in 1992
clubs | have played up from | its inception in 1992
clubs | have played up in | Premier League
49 clubs | have played up from | its inception in 1992
clubs | have played from | its inception
49 clubs | have played from | its inception
clubs | have played from | its inception in 1992
its inception | is in | 1992
49 clubs | have played up from | its inception
clubs | have played up from | its inception
49 clubs | have played in | Premier League
20 clubs | are competing during | current 2018
following 20 clubs | are competing | 19 season
following clubs | are competing in | Premier League
following clubs | are competing | 19 season
20 clubs | are competing | 19 season
20 clubs | are competing in | Premier League
following clubs | are competing during | current 2018
clubs | are competing | 19 season
clubs | are competing during | current 2018
following 20 clubs | are competing during | current 2018
following 20 clubs | are competing in | Premier League
clubs | are competing in | Premier League
Welsh club | participated In | 2011
Welsh club | participated for | first time
Swansea City | gained | promotion
Welsh club | participated in | Premier League
Welsh club | participated for | time
first Premier League match | was | Swansea City 's home match at Liberty Stadium
Premier League match | was | Swansea City 's home match
first Premier League match | was | Swansea City 's home match on 20 August 2011
Premier League match | was | Swansea City 's home match against Wigan Athletic on 20 August 2011
Premier League match | was | Swansea City 's home match at Liberty Stadium against Wigan Athletic
first Premier League match | was | Swansea City 's home match at Liberty Stadium against Wigan Athletic on 20 August 2011
first Premier League match | was | Swansea City 's home match against Wigan Athletic
first Premier League match | was | Swansea City 's home match at Liberty Stadium against Wigan Athletic
first Premier League match | was | Swansea City 's home match
Premier League match | was | Swansea City 's home match on 20 August 2011
Premier League match | was | Swansea City 's home match against Wigan Athletic
Premier League match | was | Swansea City 's home match at Liberty Stadium
first Premier League match | was | Swansea City 's home match against Wigan Athletic on 20 August 2011
Swansea City | has | home match at Liberty Stadium against Wigan Athletic on 20 August 2011
Premier League match | was | Swansea City 's home match at Liberty Stadium on 20 August 2011
Premier League match | was | Swansea City 's home match at Liberty Stadium against Wigan Athletic on 20 August 2011
first Premier League match | was | Swansea City 's home match at Liberty Stadium on 20 August 2011
number | is in | Premier League
they | were | relegated
they | were relegated after | their season
they | were relegated after | their maiden season
number | increased to | two
Swansea City | were | relegated from Premier League in same season
Swansea City | were relegated from | Premier League
Swansea City | were relegated in | season
Swansea City | were relegated in | same season
Swansea City | were | relegated
Swansea City | were | relegated from Premier League in season
they | are | members
question | has caused | long-running discussions
question | has caused | discussions
question | has caused | discussions in UEFA
question | has caused | long-running discussions in UEFA
long-running discussions | is in | UEFA
they | are members of | Football Association of Wales
they | are members of | Football Association
Swansea | took | one England 's three places in Europa League
England 's three available places | is in | Europa League
Swansea | took | one of England 's three available places
Swansea | took | one England 's three available places
Swansea | took | one of England 's three places in Europa League
Swansea | took | one England 's three available places in Europa League
Swansea | took | one England 's three places
Swansea | took | one of England 's three available places in Europa League
England | of | three available places in Europa League
Swansea | took | one of England 's three places
UEFA | matter in | March 2012
UEFA | clarified | matter in March 2012
UEFA | allowing | them
matter | is in | March 2012
UEFA | clarified | matter
UEFA | allowing | participate
right | was in | doubt
Participation | has | has discussed
Participation | has | has sometimes discussed
Participation | is in | Premier League
idea | came | closest to reality
move | was | blocked
idea | came | closest
reality | is in | 1998
move | was blocked by | Football Association of Ireland
move | was blocked by | Football Association
media | occasionally discusses | idea that Scotland 's two teams
media | Additionally discusses | idea
Scotland | 's teams is | should in Premier League
media | occasionally discusses | idea
media | discusses | idea
Scotland | 's teams is | Celtic
media | Additionally discusses | idea that Scotland 's two teams
media | discusses | idea that Scotland 's two biggest teams
Scotland | has | two biggest teams
media | occasionally discusses | idea that Scotland 's two biggest teams
media | discusses | idea that Scotland 's two teams
media | Additionally discusses | idea that Scotland 's two biggest teams
media | Additionally occasionally discusses | idea that Scotland 's two biggest teams
Scotland 's two biggest teams | should in | Premier League
media | Additionally occasionally discusses | idea
media | Additionally occasionally discusses | idea that Scotland 's two teams
subsequent season | for | UEFA Champions League group stage
top four teams | is in | Premier League
subsequent season | for | UEFA Champions League group stage
winners | also qualify for | subsequent season 's UEFA Champions League group stage
winners | qualify for | season 's UEFA Champions League group stage
winners | also qualify for | season 's UEFA Champions League group stage
winners | qualify for | subsequent season 's UEFA Champions League group stage
fourth-placed team | instead plays in | UEFA Europa League
single nation | is limited to | maximum
team | plays in | UEFA Europa League
single nation | is | limited
team | instead plays in | UEFA Europa League
fourth-placed team | plays in | UEFA Europa League
fourth-placed team | is in | Premier League
single nation | is limited to | maximum of 5 teams
subsequent season | for | UEFA Europa League group stage
fifth-placed team | is in | Premier League
fifth-placed team | qualifies for | season 's UEFA Europa League group stage
team | qualifies for | season 's UEFA Europa League group stage
fifth-placed team | qualifies for | subsequent season 's UEFA Europa League group stage
team | qualifies for | subsequent season 's UEFA Europa League group stage
winner | also qualifies for | subsequent season 's UEFA Europa League group stage
subsequent season | for | UEFA Europa League group stage
winner | qualifies for | subsequent season 's UEFA Europa League group stage
top five places | is in | Premier League
winner | qualifies for | season 's UEFA Europa League group stage
winner | also qualifies for | season 's UEFA Europa League group stage
subsequent season | for | UEFA Europa League
winner | qualified for | UEFA competition via Premier League
winner | qualifies qualifying round for | subsequent season 's UEFA Europa League
winner | already qualified for | UEFA competition via Premier League
winner | qualifies qualifying round for | season 's UEFA Europa League
winner | qualified for | UEFA competition
winner | qualifies | qualifying round
winner | qualifies | second qualifying round
winner | already qualified for | UEFA competition
English clubs | is in | UEFA
performance | is in | UEFA competitions
performance | is in | previous five years
ranking | is | Currently 2nd
ranking | Currently is 2nd behind | Spain
ranking | is | 2nd
ranking | is 2nd behind | Spain
Liverpool | won Champions League at_time | year before
Liverpool | won Champions League at_time | year
Liverpool | won | Champions League
UEFA | gave | special dispensation
UEFA | gave | dispensation
Liverpool | enter | Champions League
champions | qualify for | competition year
defending champions | qualify for | competition year
champions | qualify for | competition following year
champions | qualify for | competition
defending champions | qualify for | competition
defending champions | qualify for | competition following year
it | qualify at | expense of team
fourth-placed team | is in | league
Champions League winner | finished in | its league
four entrants | is in | Champions League
Champions League winner | finished in | its domestic league
