Boruc | is | Polish
Boruc | also added to | his winner 's medals collection
Boruc | added to | his winner 's medals collection
Boruc | continued at_time | season
Boruc | continued | his fine form
Boruc | continued | his fine form for Celtic
Boruc | continued | his form
Boruc | continued at_time | following season
Boruc | continued | his form for Celtic
Boruc | helped Celtic in | UEFA Champions League match against Manchester United
Boruc | helped Celtic through | through stage of competition
Boruc | helped Celtic in | UEFA Champions League match at Celtic Park
Boruc | helped Celtic in | UEFA Champions League match
Boruc | helped Celtic through | through knockout stage of competition
Boruc | helped Celtic in | UEFA Champions League match against Manchester United at Celtic Park
Boruc | saving | Louis Saha 's penalty
Boruc | helped Celtic through | through knockout stage
Louis Saha | has | 89th-minute penalty
Boruc | helped | Celtic
Boruc | helped Celtic through | through stage
Boruc | saving | Louis Saha 's 89th-minute penalty
Boruc | helped Celtic On | 21 November 2006
Celtic | of | three home Champions League group stages games
Boruc | keeping | sheet
Boruc | keeping | clean sheet
He | was | named for December 2006 in Premier League
He | was named in | Scottish Premier League
He | was named in | Premier League
He | was named | player
He | was named in | uncommon event for goalkeeper
Scottish Premier League | event for | goalkeeper
He | was named in | very uncommon event
He | was named in | uncommon event
He | was named for | December 2006
He | was | named for December 2006 in Scottish Premier League
He | was named | player of month
He | was named in | event
He | was | named
He | was named in | event for goalkeeper
He | player of | month
He | was named in | very uncommon event for goalkeeper
His form | was | also recognised
His form | was also recognised with | nomination for Scottish PFA Players ' Player
His form | was recognised with | nomination for Scottish PFA Players ' Player
His form | was also recognised with | nomination for Scottish PFA Players ' Player for 2007
His form | was also recognised with | nomination for PFA Players ' Player of Year award for 2007
His form | was recognised with | nomination for Scottish PFA Players ' Player for 2007
His form | was | recognised
His form | was also recognised with | nomination
His form | was also recognised with | nomination for PFA Players ' Player for 2007
His form | was recognised with | nomination for PFA Players ' Player of Year award
His form | was also recognised with | nomination for PFA Players ' Player
His form | was also recognised with | nomination for Scottish PFA Players ' Player of Year award
His form | was recognised with | nomination for PFA Players ' Player
His form | was recognised with | nomination for Scottish PFA Players ' Player of Year award
His form | was recognised with | nomination
His form | was also recognised with | nomination for Scottish PFA Players ' Player of Year award for 2007
His form | was recognised with | nomination for PFA Players ' Player of Year award for 2007
His form | was recognised with | nomination for PFA Players ' Player for 2007
His form | was recognised with | nomination for Scottish PFA Players ' Player of Year award for 2007
His form | was also recognised with | nomination for PFA Players ' Player of Year award
Celtic | defeated | Dunfermline 1 0 on 26 May 2007
season | culminated in | more silverware for Boruc
Dunfermline 1 0 | win | Cup
Celtic | defeated | Dunfermline 1 0
Dunfermline 1 0 | win | Scottish Cup
Celtic | retained | their Scottish Premier League title
Celtic | retained | their Premier League title
season | culminated in | silverware for Boruc
tie | ended in | penalty shootout
Boruc | ensure | Celtic 's passage
Boruc | ensure | Celtic 's passage to group stages
Celtic | has | passage to group stages
season | saw | complete hat-trick of consecutive Premier League titles
season | saw | complete hat-trick of Premier League titles
season | saw | Celtic complete hat-trick
season | also saw | complete hat-trick of Scottish Premier League titles
season | saw | Celtic hat-trick
season | also saw | Celtic hat-trick of consecutive Scottish Premier League titles
season | also saw | Celtic hat-trick of Scottish Premier League titles
season | saw | Celtic complete hat-trick of consecutive Scottish Premier League titles
season | saw | Celtic complete hat-trick of Premier League titles
season | saw | Celtic complete hat-trick of consecutive Premier League titles
season | also saw | complete hat-trick of consecutive Scottish Premier League titles
season | also saw | Celtic complete hat-trick of consecutive Premier League titles
season | also saw | hat-trick of Premier League titles
season | also saw | Celtic complete hat-trick of Scottish Premier League titles
season | also saw | Celtic hat-trick of consecutive Premier League titles
season | saw | complete hat-trick of consecutive Scottish Premier League titles
season | also saw | hat-trick of consecutive Premier League titles
season | also saw | Celtic complete hat-trick of Premier League titles
season | saw | hat-trick of consecutive Premier League titles
season | also saw | complete hat-trick of consecutive Premier League titles
season | also saw | Celtic hat-trick
season | saw | complete hat-trick
season | saw | Celtic hat-trick of consecutive Premier League titles
season | saw | complete hat-trick of Scottish Premier League titles
season | also saw | Celtic complete hat-trick of consecutive Scottish Premier League titles
season | saw | hat-trick
season | saw | Celtic hat-trick of consecutive Scottish Premier League titles
season | also saw | complete hat-trick of Premier League titles
season | saw | Celtic hat-trick of Premier League titles
season | saw | hat-trick of Scottish Premier League titles
season | also saw | hat-trick
season | also saw | hat-trick of Scottish Premier League titles
season | saw | hat-trick of consecutive Scottish Premier League titles
season | saw | Celtic complete hat-trick of Scottish Premier League titles
season | saw | hat-trick of Premier League titles
season | also saw | Celtic complete hat-trick
season | also saw | Celtic hat-trick of Premier League titles
season | saw | Celtic hat-trick of Scottish Premier League titles
season | also saw | hat-trick of consecutive Scottish Premier League titles
season | also saw | complete hat-trick
Boruc | was fined | estimated # 50,000
club | has | drinking policy
Boruc | breaching | club 's drinking policy
Boruc | endured | decline in half
Boruc | endured | decline of form in first half
Boruc | endured | decline of form
Boruc | endured | decline
Boruc | endured | decline in first half
Boruc | endured | decline of form in first half of season 2008
Boruc | endured | decline of form in half
decline | is in | first half of season 2008
Boruc | endured | decline of form in half of season 2008
Boruc | endured | decline in first half of season 2008
Boruc | endured | decline in half of season 2008
He | did save | James McArthur penalty
He | did however save | James McArthur penalty
Discipline | also became with | Boruc
Discipline | also became | issue again
Old Firm game | is in | August
Discipline | also became | issue
Discipline | became with | Boruc
Discipline | however also became with | Boruc
Discipline | became | issue again
he | made during | Old Firm game in August
he | made towards | Rangers fans
he | made during | Old Firm game
Discipline | however became with | Boruc
he | made during | Firm game
Discipline | however became | issue
Discipline | however also became | issue
Discipline | became | issue
Discipline | however also became | issue again
he | made during | Firm game in August
Discipline | however became | issue again
Boruc | converted penalty during | penalty shootout in match of League Cup
Boruc | converted penalty during | penalty shootout in semi-final match against Dundee United
Boruc | converted during | penalty shootout in match of League Cup against Dundee United
Boruc | converted penalty during | penalty shootout
10 | win on | penalties
Boruc | converted during | penalty shootout in match
Boruc | converted during | penalty shootout in match of League Cup
Boruc | converted penalty during | penalty shootout in match against Dundee United
Boruc | converted penalty during | penalty shootout in match
Boruc | converted | penalty
Boruc | converted penalty during | penalty shootout in semi-final match
Boruc | converted during | penalty shootout
Boruc | converted | penalty for Celtic
Boruc | converted penalty during | penalty shootout in semi-final match of League Cup against Dundee United
Boruc | converted On | 28 January 2009
Boruc | converted penalty On | 28 January 2009
Boruc | converted during | penalty shootout in semi-final match of League Cup
Boruc | converted during | penalty shootout in semi-final match against Dundee United
Boruc | converted during | penalty shootout in semi-final match
Boruc | converted penalty during | penalty shootout in match of League Cup against Dundee United
penalty shootout | is in | semi-final match of League Cup against Dundee United
Boruc | converted during | penalty shootout in semi-final match of League Cup against Dundee United
Boruc | converted penalty during | penalty shootout in semi-final match of League Cup
Boruc | converted during | penalty shootout in match against Dundee United
extra-time | is in | Scottish League Cup Final
Boruc | made | his appearance for Celtic
Boruc | made | his 200th appearance
Boruc | made | his appearance
Boruc | made | his 200th appearance for Celtic
Premier League | save for | reflex save against Hibernian at Easter Road in August 2009
Premier League | save for | reflex save against Hibernian
Scottish Premier League | save for | reflex save against Hibernian at Easter Road
Premier League | save for | reflex save
Scottish Premier League | save for | reflex save against Hibernian in August 2009
Scottish Premier League | save for | reflex save against Hibernian at Easter Road in August 2009
Scottish Premier League | save for | reflex save
Premier League | save for | reflex
Premier League | save of | season award
Scottish Premier League | save of | season award
Scottish Premier League | save for | reflex
Premier League | save for | reflex save against Hibernian in August 2009
Hibernian | is in | August 2009
Scottish Premier League | save for | reflex save against Hibernian
Premier League | save for | reflex save against Hibernian at Easter Road
he | won In | April 2010
he | had | substituted in half
Boruc | made appearance in | 2 1 victory against Old Firm rivals Rangers
he | sustained to | his hand
Boruc | made | appearance of his Celtic career
he | be substituted in | half
Boruc | made appearance in | 2 1 victory against Firm rivals Rangers
he | be | substituted
he | was | unable
he | sustained in | pre-match
he | had | substituted in second half
Boruc | made | appearance
Boruc | made | appearance of his career
he | had | substituted
Boruc | made appearance in | 2 1 victory
he | be substituted in | second half
Celtic | agreed On | 12 July 2010
Celtic | sell | Boruc
Celtic | sell Boruc for | fee
Celtic | sell Boruc to | Serie club Fiorentina subject to medical
Celtic | sell Boruc to | Serie club Fiorentina subject
Celtic | sell Boruc to | Serie club Fiorentina
Celtic | sell Boruc for | undisclosed fee
transfer | was | confirmed three days later
transfer | was | confirmed
transfer | was | confirmed later
He | made | his Fiorentina debut
he | made | his Serie debut
0 | win on | 7 November 2010
0 | win over | Chievo
Frey | regained | his place
Boruc | play in | 25 Serie fixtures
Boruc | play in | next 25 Serie fixtures
Frey | after | move to Genoa
Boruc | officially claimed | Fiorentina 's number
Boruc | claimed | Fiorentina 's number
Fiorentina | has | number
Boruc | played For | next year
he | apparent lack of | fitness
Boruc | played For | year
he | was criticised | this
Boruc | played in | all
Fiorentina | of | Serie A fixtures
Boruc | was | After two seasons released by Fiorentina
Boruc | was | released
Boruc | was | After two seasons in Italy released in July 2012
two seasons | is in | Italy
Boruc | was released After | two seasons
Boruc | was | After two seasons released in July 2012
Boruc | was | After two seasons in Italy released by Fiorentina in July 2012
Boruc | was released After | two seasons in Italy
Boruc | was released in | July 2012
Boruc | was released by | Fiorentina
Boruc | was | After two seasons released by Fiorentina in July 2012
Boruc | was | released by Fiorentina in July 2012
Boruc | was | After two seasons in Italy released by Fiorentina
Boruc | joined Premier League club Southampton on | deal
Boruc | joined | Premier League club Southampton
Boruc | joined Premier League club Southampton on | one-year deal
Boruc | joined Premier League club Southampton On | 22 September 2012
He | made | his debut
he | was | allegedly involved
Tottenham Hotspur | following | second goal throwing in direction
he | was involved On | 28 October 2012
he | responded to | jeers coming from behind him
he | responded to | jeers
he | was allegedly involved On | 28 October 2012
he | was involved in | incident
he | was | On 28 October 2012 involved in incident
he | was allegedly involved in | incident
he | was | On 28 October 2012 allegedly involved in incident
he | was | involved
he | responded to | jeers coming
incident | being | dropped
incident | resulted in | Boruc
incident | resulted | dropped from side
incident | being dropped from | side
incident | resulted | dropped
early controversy | is in | his Southampton career
Boruc | regained | his place
club | in | league matches from 1 January 2013
Boruc | saved penalty On | 9 March 2013 in league match at Carrow Road
Boruc | saved penalty On | 9 March 2013
Boruc | saved penalty in | 90th minute
Boruc | saved penalty in | minute
Boruc | saved | penalty
Boruc | saved penalty On | 9 March 2013 in league match against Norwich City
Boruc | saved penalty On | 9 March 2013 in league match
9 March 2013 | is in | league match against Norwich City at Carrow Road
Boruc | saved penalty On | 9 March 2013 in league match against Norwich City at Carrow Road
Boruc | saved penalty from | Grant Holt
point | is in | their bid avoid
Boruc 's form | resulted in | manager Mauricio Pochettino
Boruc | has | form returning to Southampton first team
expressing | desire for | Boruc
oruc | signed | contract
oruc | signed | new contract
oruc | signed | new contract for club
oruc | signed | new 2-year contract for club
oruc | signed | 2-year contract
oruc | signed | 2-year contract for club
oruc | signed | contract for club
oruc | signed | new 2-year contract
they | eventually finished at | end
they | finished at | end
they | eventually finished in | 14th place
they | finished in | 14th place
they | finished at | end of season
they | finished in | place
they | eventually finished at | end of season
Southampton 's 1 1 draw | is with | Sunderland
Southampton | has | 1 1 draw with Sunderland on 12 May 2013
they | eventually finished in | place
Boruc | Now established as | first-choice goalkeeper at Southampton
Boruc | established as | first-choice goalkeeper
his team | make | excellent start to 2013
Boruc | Now firmly established as | goalkeeper
his team | make | excellent start
Boruc | Now established as | goalkeeper at Southampton
his team | make | start
Boruc | Now firmly established as | first-choice goalkeeper at Southampton
Boruc | Now firmly established as | first-choice goalkeeper
Boruc | firmly established as | first-choice goalkeeper at Southampton
Boruc | established as | goalkeeper at Southampton
his team | make | start to 2013
Boruc | firmly established as | goalkeeper
Boruc | firmly established as | first-choice goalkeeper
Boruc | Now established as | goalkeeper
Boruc | established as | first-choice goalkeeper at Southampton
Boruc | Now firmly established as | goalkeeper at Southampton
Boruc | Now established as | first-choice goalkeeper
Boruc | firmly established as | goalkeeper at Southampton
Boruc | established as | goalkeeper
third place | is in | Premier League
team | move to | 18 points
goal | opposing goalkeeper Asmir Begović after | just 13 seconds
Boruc | conceded | goal
Boruc | conceded goal On | 2 November 2013
Boruc | conceded goal in | 1 1 draw at Stoke City
goal | opposing | goalkeeper Asmir Begović
Boruc | conceded goal in | 1 1 draw
Arsenal | of | two goals
Arsenal | from | Olivier Giroud
he | later suffered | broken hand
he | later suffered | hand trying
he | suffered | broken hand
he | later suffered | hand
Demba Ba goal | is in | 3 1 defeat against Chelsea
he | suffered | broken hand trying
he | later suffered | broken hand trying
he | suffered | hand trying
he | suffered | hand
Boruc | kept | clean sheet
Boruc | kept | clean sheet 0 win over West Bromwich Albion
Boruc | kept | sheet 0 win
0 | impressing with | last minute save from Shane Long
Boruc | kept | clean sheet 0 win
0 | impressing with | minute save
0 | impressing with | last minute
Boruc | kept | sheet
Boruc | kept | sheet 0 win over West Bromwich Albion
Boruc | returned on | 11 January 2014
0 | impressing with | minute save from Shane Long
0 | impressing with | minute
0 | impressing with | last minute save
he | was at | fault
league | wins during | February 2014
0 league | wins over | Fulham
he | was at | fault for one of Sunderland 's goals
league | wins over | Fulham
0 league | wins respectively during | February 2014
he | was at | fault for one of Sunderland 's goals in 2 2 draw
league | wins respectively over | Fulham
he | was at | fault for one Sunderland 's goals
Sunderland 's goals | is in | 2 2 draw on 18 January
0 league | wins during | February 2014
league | wins respectively during | February 2014
Sunderland | of | goals in 2 2 draw on 18 January
he | was at | fault for one Sunderland 's goals in 2 2 draw on 18 January
0 league | wins respectively over | Fulham
Boruc | maintained | his place
he | was at | fault for one Sunderland 's goals in 2 2 draw
he | was at | fault for one of Sunderland 's goals in 2 2 draw on 18 January
his distribution | was | poor
he | helped Southampton to | finish at end of season
he | helped Southampton to | eighth-place finish in league
he | helped Southampton to | eighth-place finish at end of season
he | helped Southampton to | eighth-place finish at end
he | helped Southampton to | eighth-place finish in league at end
he | helped | Southampton
he | helped Southampton to | finish
he | helped Southampton to | eighth-place finish
he | helped Southampton to | finish in league
his distribution | was | occasionally poor
he | helped Southampton to | finish in league at end of season
he | helped Southampton to | eighth-place finish in league at end of season
His form | remained | consistent
he | helped Southampton to | finish at end
eighth-place finish | is in | league
His form | remained | reasonably consistent
he | helped Southampton to | finish in league at end
Boruc | has | place
Fraser Forster | arrived with | Englishman
Fraser Forster | arrived from | Celtic in # 10 million transfer deal
Fraser Forster | arrived At | start of 2014 15 season
Fraser Forster | arrived from | Celtic
Fraser Forster | arrived At | start
Celtic | is in | # 10 million transfer deal
Fraser Forster | arrived at | Southampton
Boruc | joined Championship side AFC Bournemouth until | January 2015
Boruc | joined | Championship side AFC Bournemouth
Boruc | joined Championship side AFC Bournemouth on | emergency loan deal
Boruc | joined Championship side AFC Bournemouth On | 19 September 2014
He | made | his debut
they | recorded | their winning margin
they | recorded | their biggest margin in league fixture
they | recorded | their margin
they | recorded | their biggest margin
they | recorded | their biggest winning margin in league fixture
they | recorded | their biggest winning margin
It | was | first time
they | recorded | their winning margin in league fixture
they | recorded | their margin in league fixture
their biggest winning margin | is in | league fixture
Cherries | scored | eight goals
It | was | time
Cherries | ever scored | eight goals
Boruc | saving | penalty taken by Paul Caddis in 53rd minute with score
Boruc | saving | penalty
Boruc | saving | penalty taken by Paul Caddis in 53rd minute with score at 0
Boruc | saving | penalty taken with score
Boruc | saving | penalty taken in 53rd minute
Boruc | saving | penalty taken by Paul Caddis
Boruc | played | his part
Boruc | saving | penalty taken by Paul Caddis in 53rd minute
Boruc | saving | penalty taken in 53rd minute with score at 0
Boruc | saving | penalty taken in 53rd minute with score
Boruc | saving | penalty taken by Paul Caddis with score
Boruc | saving | penalty taken
Boruc | saving | penalty taken with score at 0
Boruc | saving | penalty taken by Paul Caddis with score at 0
club | go | top of Championship
Boruc | kept sheets in | nine his 18 appearances
Boruc | kept sheets in | nine of his 18 appearances
club | go | top
Boruc | kept | clean sheets
Boruc | kept | sheets
I | 'm staying until | end
I | 'm | pleased
I | 'm staying until | end of season
loan | was extended to | end
loan | was | extended
loan | was extended to | end of season
loan | was | such extended
loan | such was extended to | end
loan | such was extended to | end of season
Boruc | was | part
Boruc | was part On | 2 May 2015
Boruc | began | 2015 16 season
Boruc | starting | club 's first ever top division match
Boruc | starting | club 's division match
Boruc | starting | club 's first top division match
Boruc | began | 2015 16 season as Bournemouth 's choice goalkeeper
Boruc | starting | club 's first division match
Boruc | starting | club 's division match against Aston Villa
Boruc | starting | club 's top division match against Aston Villa
Bournemouth | as | first choice goalkeeper
Boruc | starting | club 's top division match
Boruc | starting | club 's first division match against Aston Villa
Boruc | starting | club 's ever top division match against Aston Villa
club | has | first ever top division match against Aston Villa
Boruc | starting | club 's first top division match against Aston Villa
Boruc | starting | club 's ever top division match
Boruc | began | 2015 16 season as Bournemouth 's first choice goalkeeper
Boruc | starting | club 's first ever top division match against Aston Villa
His | came | club 's first sheet
His | came in | 2 0 defeat of Sunderland at Dean Court on 19 September
His | came in | 2 0 defeat on 19 September
His | came in | 2 0 defeat of Sunderland on 19 September
club | has | first clean sheet
His | came in | 2 0 defeat
His | came in | 2 0 defeat at Dean Court on 19 September
His | came | club 's clean sheet
His | came in | 2 0 defeat at Dean Court
His | came in | 2 0 defeat of Sunderland at Dean Court
His | came | club 's sheet
His | came | club 's first clean sheet
His | came in | 2 0 defeat of Sunderland
Boruc | was | After performance replaced in Bournemouth goal by Adam Federici
Boruc | was replaced After | poor performance in 1 5 home defeat by Tottenham Hotspur on 25 October
Boruc | was | After poor performance in 1 5 home defeat by Tottenham Hotspur on 25 October replaced in Bournemouth goal by Adam Federici
Boruc | was | After poor performance in 1 5 home defeat by Tottenham Hotspur on 25 October replaced in Bournemouth goal
Boruc | was replaced After | poor performance
Boruc | was | After poor performance in 1 5 home defeat by Tottenham Hotspur replaced in Bournemouth goal
Boruc | was | After poor performance in 1 5 home defeat replaced in Bournemouth goal by Adam Federici
Boruc | was replaced After | poor performance in 1 5 home defeat
Boruc | was replaced After | performance in 1 5 home defeat
Boruc | was | After poor performance in 1 5 home defeat replaced in Bournemouth goal
Boruc | was replaced After | poor performance in 1 5 home defeat on 25 October
Boruc | was | replaced
Boruc | was | After poor performance in 1 5 home defeat by Tottenham Hotspur replaced in Bournemouth goal by Adam Federici
poor performance | is in | 1 5 home defeat by Tottenham Hotspur on 25 October
Boruc | was replaced After | performance in 1 5 home defeat by Tottenham Hotspur on 25 October
Boruc | was replaced After | poor performance in 1 5 home defeat by Tottenham Hotspur
Boruc | was | After performance in 1 5 home defeat by Tottenham Hotspur on 25 October replaced in Bournemouth goal
Boruc | was | After performance in 1 5 home defeat by Tottenham Hotspur replaced in Bournemouth goal by Adam Federici
Boruc | was | After performance in 1 5 home defeat replaced in Bournemouth goal
Boruc | was | After performance in 1 5 home defeat by Tottenham Hotspur on 25 October replaced in Bournemouth goal by Adam Federici
Boruc | was | After performance in 1 5 home defeat on 25 October replaced in Bournemouth goal by Adam Federici
Boruc | was | After performance in 1 5 home defeat replaced in Bournemouth goal by Adam Federici
Boruc | was | After poor performance replaced in Bournemouth goal
Boruc | was | After poor performance replaced in Bournemouth goal by Adam Federici
Boruc | was | After poor performance in 1 5 home defeat on 25 October replaced in Bournemouth goal by Adam Federici
Boruc | was | After performance in 1 5 home defeat on 25 October replaced in Bournemouth goal
Boruc | was | After performance in 1 5 home defeat by Tottenham Hotspur replaced in Bournemouth goal
Boruc | was replaced in | Bournemouth goal
Boruc | was replaced After | performance in 1 5 home defeat by Tottenham Hotspur
Boruc | was | After performance replaced in Bournemouth goal
Boruc | was replaced in | Bournemouth goal by Adam Federici
Boruc | was replaced After | performance in 1 5 home defeat on 25 October
Boruc | was | After poor performance in 1 5 home defeat on 25 October replaced in Bournemouth goal
Boruc | was replaced After | performance
Boruc | return with | goalkeeper
Boruc | return with | Polish goalkeeper
Boruc | return to | side
Boruc | return for | fixture
Boruc | return for | away fixture at Premier League champions
Boruc | return for | away fixture
Boruc | return for | fixture at Premier League champions
0 | win for | Bournemouth
Boruc | was | later member
Boruc | was | member
Boruc | was | week later member
he | signed | new contract with Bournemouth
he | signed contract On | 17 May 2018
new contract | is with | Bournemouth
he | signed | contract
he | signed | new contract
he | signed | contract with Bournemouth
he | keeping | him
Boruc 's debut | coming on | on second-half substitute
Boruc 's debut | coming on | on second-half substitute for Jerzy Dudek
Boruc 's debut | came with | match ending in draw
Boruc 's debut | came | coming on as substitute
Boruc 's debut | came with | match ending in goalless draw
Boruc 's debut | coming on | on substitute for Jerzy Dudek
Boruc 's debut | came in | friendly against Republic
Boruc 's debut | came | coming on as second-half substitute for Jerzy Dudek
Boruc | has | debut for Poland
Boruc 's debut | came in | friendly
Boruc 's debut | came | coming on as second-half substitute
Boruc 's debut | came on | 28 April 2004
Boruc 's debut | coming on | on substitute
Boruc 's debut | came with | match ending
Boruc 's debut | came | coming
