Fabiański | plays_for | Arsenal
Hedworth | plays_for | United
Beardsley | plays_for | United
Moore | plays_for | City
Wagstaffe | plays_for | City
Shilton | plays_for | Wembley
Moore | plays_for | United
Moore | plays_for | Rovers
Bull | plays_for | Ham
Peters | plays_for | Hotspur
Docherty | plays_for | Chelsea
Brooking | plays_for | Albion
Canio | plays_for | Chelsea
Hilton | plays_for | Lancashire
Hurst | plays_for | Chelsea
Blanchflower | plays_for | Chelsea
Hurst | plays_for | Chelsea
Canio | plays_for | Arsenal
Alcock | plays_for | Arsenal
Roeder | plays_for | Chelsea
Brooking | plays_for | Chelsea
Panenka | plays_for | Arsenal
Canio | plays_for | Academy
Carr | plays_for | Academy
Devonshire | plays_for | Southampton
Southall | plays_for | Southampton
Greenwood | plays_for | United
Devonshire | plays_for | Rangers
Ham | plays_for | Arsenal
Brooking | plays_for | Arsenal
