Fabinho | is | Portuguese
Salah | plays_for | Chelsea
Salah | plays_for | Fiorentina
Salah | plays_for | Liverpool
Salah | plays_for | Arsenal
Salah | plays_for | Liverpool
Allan | plays_for | Liverpool
Salah | plays_for | Liverpool
Hunt | plays_for | Liverpool
Rush | plays_for | Liverpool
Salah | plays_for | Liverpool
Salah | plays_for | Liverpool
Klopp | plays_for | Liverpool
Salah | plays_for | Liverpool
Salah | plays_for | Liverpool
Salah | plays_for | Liverpool
Mané | plays_for | Liverpool
Salah | plays_for | Liverpool
Salah | plays_for | Liverpool
Salah | plays_for | Cup
Kadyrov | plays_for | Cup
Salah | plays_for | Liverpool
Salah | plays_for | Liverpool
James | plays_for | Liverpool
Odums | plays_for | Liverpool
Salah | plays_for | Liverpool
Henderson | plays_for | City
Henderson | plays_for | Liverpool
Henderson | plays_for | Liverpool
Henderson | plays_for | Liverpool
Henderson | plays_for | Liverpool
Henderson | plays_for | Liverpool
Gerrard | plays_for | City
Henderson | plays_for | Liverpool
Gerrard | plays_for | Liverpool
Henderson | plays_for | Liverpool
Henderson | plays_for | Liverpool
Messi | plays_for | Liverpool
Suárez | plays_for | Liverpool
Sturridge | plays_for | City
Sturridge | plays_for | Chelsea
Lampard | plays_for | Chelsea
Sturridge | plays_for | Chelsea
Begović | plays_for | Chelsea
Drogba | plays_for | City
Sturridge | plays_for | City
Sturridge | plays_for | Chelsea
Cole | plays_for | Chelsea
Bertrand | plays_for | City
Pantilimon | plays_for | City
Kennedy | plays_for | Liverpool
Sturridge | plays_for | City
Sturridge | plays_for | City
Enrique | plays_for | City
Sturridge | plays_for | Liverpool
Sturridge | plays_for | Liverpool
Sturridge | plays_for | Liverpool
Sturridge | plays_for | Liverpool
CF | plays_for | Liverpool
Sturridge | plays_for | Liverpool
Sturridge | plays_for | Arsenal
Sturridge | plays_for | Liverpool
Sturridge | plays_for | Chelsea
Gerrard | is | Dutch
Daniel | plays_for | Chelsea
Hulk | plays_for | Chelsea
Sturridge | plays_for | Liverpool
Sturridge | plays_for | Liverpool
Pérez | is | Spanish
Townsend | plays_for | Hotspur
Moreno | plays_for | Arsenal
Klopp | plays_for | Arsenal
Klopp | plays_for | Liverpool
Lallana | plays_for | Southampton
Tissier | plays_for | Southampton
Lallana | plays_for | Southampton
Lallana | plays_for | Southampton
Lallana | plays_for | Southampton
Lallana | plays_for | Liverpool
Lallana | plays_for | Liverpool
Villarreal | plays_for | Liverpool
Lallana | plays_for | Liverpool
Lallana | plays_for | Liverpool
Lallana | plays_for | Liverpool
Lallana | plays_for | Liverpool
Coutinho | plays_for | Liverpool
Lambert | plays_for | Southampton
Rodriguez | plays_for | Southampton
Mignolet | is | Belgian
Mignolet | plays_for | Arsenal
Mignolet | plays_for | Liverpool
Mignolet | plays_for | Liverpool
Mignolet | plays_for | City
Walters | plays_for | Liverpool
Jones | plays_for | Liverpool
Crouch | plays_for | Liverpool
Muniesa | plays_for | Liverpool
Karius | plays_for | Liverpool
Klopp | plays_for | Liverpool
Mignolet | plays_for | Liverpool
Mignolet | is | Belgian
Mignolet | plays_for | Liverpool
Mignolet | plays_for | Liverpool
Coutinho | plays_for | Liverpool
Shaqiri | is | Swiss
Shaqiri | plays_for | Liverpool
Shaqiri | plays_for | Liverpool
Beale | plays_for | Chelsea
Brewster | plays_for | Liverpool
Beale | plays_for | Chelsea
Brewster | plays_for | Liverpool
Robertson | plays_for | Liverpool
Robertson | plays_for | Liverpool
Robertson | plays_for | Liverpool
Firmino | plays_for | Liverpool
Origi | plays_for | Liverpool
Origi | plays_for | Liverpool
Origi | plays_for | Liverpool
Klopp | plays_for | Liverpool
Origi | plays_for | Liverpool
Origi | plays_for | Liverpool
Sturridge | plays_for | Liverpool
Sturridge | plays_for | Liverpool
Green | is | Belgian
Origi | is | Kenyan
Matip | plays_for | Liverpool
Matip | plays_for | Liverpool
Brannagan | plays_for | Liverpool
Matip | plays_for | Liverpool
Matip | plays_for | Liverpool
Phillips | plays_for | Liverpool
Whiley | plays_for | Velvet
Woodburn | plays_for | Liverpool
McParland | plays_for | Liverpool
Woodburn | plays_for | Liverpool
Kirkby | plays_for | Liverpool
Firmino | plays_for | Liverpool
Woodburn | plays_for | Liverpool
Stewart | plays_for | Liverpool
Alexander-Arnold | plays_for | Liverpool
Wijnaldum | plays_for | Liverpool
Woodburn | plays_for | Liverpool
Woodburn | plays_for | Liverpool
Gerrard | plays_for | Liverpool
Woodburn | plays_for | Liverpool
Hull | plays_for | Liverpool
Woodburn | plays_for | Liverpool
Camacho | plays_for | Liverpool
Camacho | plays_for | Everton
Karius | plays_for | Liverpool
Klopp | plays_for | Liverpool
Karius | plays_for | Liverpool
Mignolet | plays_for | Liverpool
Kolarov | plays_for | Liverpool
Karius | plays_for | Liverpool
Karius | plays_for | Liverpool
Karius | plays_for | Liverpool
Alisson | plays_for | Liverpool
Clyne | plays_for | Southampton
Clyne | plays_for | Liverpool
Clyne | plays_for | Palace
Clyne | plays_for | Liverpool
Clyne | plays_for | Liverpool
Bou | plays_for | Liverpool
Clyne | plays_for | Liverpool
Sturridge | plays_for | Liverpool
Martial | plays_for | Liverpool
Grujić | plays_for | Liverpool
Grujić | plays_for | Liverpool
Ings | plays_for | Liverpool
Ings | plays_for | Southampton
Ings | plays_for | Southampton
Ings | plays_for | Liverpool
Benteke | plays_for | Liverpool
Ings | plays_for | Hotspur
Ings | plays_for | EFL
Ings | plays_for | Sports
Jääskeläinen | plays_for | Arsenal
Finn | plays_for | Arsenal
Bogdán | plays_for | Arsenal
Bogdán | plays_for | Liverpool
Aké | plays_for | Watford
Bogdán | plays_for | Liverpool
Holmes | plays_for | Liverpool
Bogdán | plays_for | Liverpool
Kent | plays_for | City
Kent | plays_for | Liverpool
Kent | plays_for | City
Kent | plays_for | Liverpool
Ojo | plays_for | Liverpool
Ojo | plays_for | Liverpool
Allen | plays_for | Southampton
Origi | plays_for | Liverpool
Chirivella | plays_for | Liverpool
Canós | plays_for | Liverpool
Chirivella | plays_for | Liverpool
Rodgers | plays_for | Liverpool
Chirivella | plays_for | Liverpool
Chirivella | plays_for | Liverpool
Grabara | is | Polish
Grabara | plays_for | Liverpool
Chorzów | plays_for | Liverpool
Grabara | plays_for | Liverpool
